CustomerID,Gender,Age,MaritalStatus,CityTier,PreferredDevice,PreferredPaymentMode,PreferredCategory,RegistrationDate,TenureMonths,OrdersPerMonth,AvgOrderValue,TotalOrders,TotalSpend,MonthlyRevenue,CLV_Estimate,DaysSinceLastOrder,WarehouseToDoorDays,SatisfactionScore,ComplaintsRaised,ComplaintResolved,CashbackReceived,CouponUsedCount,ReturnedOrders,AppLoginsPerMonth,WishlistItems,Churn,ChurnDate,ReturnRate,TenureBucket,ValueSegment,UnresolvedComplaint,RecencyFlag
CUST00015,Male,22,Married,Tier 1,Desktop,Debit Card,Beauty,2024-01-31,11,0.5,1152.52,6,6915.12,576.26,0.0,114,2.2,4,1,Yes,7.98,2,1,12,5,1,2024-03-23,0.167,6-12 Months,Low Value,0,Dormant
CUST00016,Male,40,Married,Tier 1,Desktop,UPI,Beauty,2024-08-01,5,0.5,1562.84,2,3125.68,781.42,18754.08,24,4.2,5,0,No Complaint,198.94,2,0,2,4,0,,0.0,3-6 Months,Low Value,0,Active
CUST00017,Male,54,Married,Tier 1,Desktop,Credit Card,Home & Kitchen,2021-12-29,36,0.9,2241.53,32,71728.96,2017.38,0.0,47,2.4,3,1,No,109.25,4,5,3,6,1,2022-06-25,0.156,24+ Months,Mid Value,1,Slipping
CUST00018,Male,26,Single,Tier 1,Mobile,Debit Card,Fashion,2023-07-01,18,7.0,376.77,126,47473.02,2637.39,63297.36,124,5.4,2,0,No Complaint,173.03,2,10,2,3,0,,0.079,12-24 Months,High Value,0,Dormant
CUST00019,Male,32,Married,Tier 3,Desktop,Credit Card,Grocery,2024-03-01,10,8.0,1133.73,80,90698.4,9069.84,0.0,144,1.9,4,0,No Complaint,208.67,5,8,5,0,1,2024-12-28,0.1,6-12 Months,High Value,0,Dormant
CUST00020,Male,20,Single,Tier 1,Mobile,Credit Card,Fashion,2023-07-01,18,4.2,1763.69,76,134040.44,7407.5,177780.0,152,4.3,4,3,No,225.73,2,14,6,5,0,,0.184,12-24 Months,High Value,1,Dormant
CUST00021,Female,46,Married,Tier 1,Mobile,UPI,Fashion,2022-12-30,24,1.1,1536.86,26,39958.36,1690.55,40573.2,98,3.5,4,0,No Complaint,366.45,4,3,3,2,0,,0.115,12-24 Months,Mid Value,0,Dormant
CUST00022,Male,23,Single,Tier 1,Mobile,Wallet,Home & Kitchen,2024-10-01,3,0.5,803.09,2,1606.18,401.54,0.0,96,3.2,4,2,Yes,433.41,2,0,16,5,1,2024-11-24,0.0,0-3 Months,Low Value,0,Dormant
CUST00023,Male,34,Single,Tier 2,Tablet,COD,Electronics,2022-06-30,30,2.3,771.26,69,53216.94,1773.9,0.0,123,6.5,3,0,No Complaint,168.03,2,8,4,1,1,2022-08-01,0.116,24+ Months,Mid Value,0,Dormant
CUST00024,Male,43,Single,Tier 1,Mobile,UPI,Beauty,2021-12-29,36,2.6,1598.84,94,150290.96,4156.98,0.0,140,2.6,1,1,Yes,404.26,1,7,10,3,1,2022-02-28,0.074,24+ Months,High Value,0,Dormant
CUST00025,Male,38,Married,Tier 3,Mobile,COD,Fashion,2023-12-31,12,1.4,1042.96,17,17730.32,1460.14,35043.36,31,3.5,4,0,No Complaint,260.38,4,1,14,3,0,,0.059,6-12 Months,Mid Value,0,Slipping
CUST00026,Female,25,Married,Tier 3,Mobile,COD,Electronics,2022-12-30,24,2.9,1931.19,70,135183.3,5600.45,134410.8,133,4.8,2,1,No,40.78,4,10,1,4,0,,0.143,12-24 Months,High Value,1,Dormant
CUST00027,Male,38,Married,Tier 1,Tablet,UPI,Grocery,2022-06-30,30,3.4,969.62,102,98901.24,3296.71,79121.04,62,5.7,5,0,No Complaint,6.47,3,32,10,4,0,,0.314,24+ Months,High Value,0,At Risk
CUST00028,Male,28,Single,Tier 2,Mobile,Credit Card,Fashion,2024-06-01,7,3.8,691.26,27,18664.02,2626.79,63042.96,69,1.2,5,3,Yes,1.79,2,5,1,2,0,,0.185,6-12 Months,High Value,0,At Risk
CUST00029,Female,55,Married,Tier 1,Desktop,Debit Card,Electronics,2021-12-29,36,1.7,261.27,61,15937.47,444.16,10659.84,14,4.2,5,0,No Complaint,159.01,2,4,12,3,0,,0.066,24+ Months,Low Value,0,Active
CUST00030,Male,25,Single,Tier 2,Desktop,Credit Card,Fashion,2022-12-30,24,3.9,764.1,94,71825.4,2979.99,0.0,106,5.9,2,0,No Complaint,132.71,5,8,7,5,1,2023-04-04,0.085,12-24 Months,High Value,0,Dormant
CUST00031,Female,59,Married,Tier 2,Mobile,COD,Grocery,2024-04-01,9,0.5,379.3,4,1517.2,189.65,4551.6,17,7.5,2,1,Yes,214.55,1,1,6,2,0,,0.25,6-12 Months,Low Value,0,Active
CUST00032,Male,41,Married,Tier 1,Mobile,Credit Card,Sports,2023-07-01,18,2.9,249.47,52,12972.44,723.46,17363.04,164,4.6,4,0,No Complaint,333.07,3,2,6,3,0,,0.038,12-24 Months,Low Value,0,Dormant
CUST00033,Male,52,Married,Tier 1,Desktop,UPI,Home & Kitchen,2024-01-31,11,0.7,489.86,8,3918.88,342.9,8229.6,112,2.0,4,2,Yes,32.34,5,0,4,4,0,,0.0,6-12 Months,Low Value,0,Dormant
CUST00034,Female,31,Married,Tier 2,Desktop,Wallet,Sports,2024-10-31,2,0.8,1468.77,2,2937.54,1175.02,28200.48,178,4.5,5,0,No Complaint,349.37,5,0,1,4,0,,0.0,0-3 Months,Mid Value,0,Dormant
CUST00035,Female,31,Married,Tier 2,Desktop,UPI,Home & Kitchen,2022-06-30,30,0.5,758.02,15,11370.3,379.01,0.0,44,3.6,5,0,No Complaint,18.58,5,2,6,3,1,2023-02-08,0.133,24+ Months,Low Value,0,Slipping
CUST00036,Female,27,Married,Tier 1,Mobile,COD,Home & Kitchen,2023-12-31,12,0.5,1017.11,6,6102.66,508.56,12205.44,122,5.1,2,0,No Complaint,386.58,4,0,1,3,0,,0.0,6-12 Months,Low Value,0,Dormant
CUST00037,Male,29,Single,Tier 2,Desktop,UPI,Grocery,2022-06-30,30,12.1,1438.73,363,522258.99,17408.63,417807.12,173,7.8,5,2,Yes,342.07,1,30,20,6,0,,0.083,24+ Months,High Value,0,Dormant
CUST00038,Male,55,Married,Tier 2,Mobile,Credit Card,Grocery,2024-10-01,3,1.3,875.62,4,3502.48,1138.31,0.0,54,2.4,2,1,No,214.9,3,0,2,4,1,2024-10-30,0.0,0-3 Months,Mid Value,1,Slipping
CUST00039,Female,61,Married,Tier 3,Mobile,Credit Card,Electronics,2024-01-31,11,6.6,554.68,73,40491.64,3660.89,87861.36,18,6.5,5,1,No,64.21,4,8,8,3,0,,0.11,6-12 Months,High Value,1,Active
CUST00040,Male,63,Married,Tier 1,Desktop,UPI,Beauty,2022-12-30,24,0.5,657.03,12,7884.36,328.52,0.0,114,6.1,4,1,No,17.65,5,0,7,6,1,2024-05-30,0.0,12-24 Months,Low Value,1,Dormant
CUST00041,Male,51,Married,Tier 3,Mobile,Credit Card,Fashion,2021-12-29,36,0.6,1541.79,22,33919.38,925.07,0.0,66,5.7,4,4,Yes,270.98,3,1,8,3,1,2022-02-21,0.045,24+ Months,Mid Value,0,At Risk
CUST00042,Male,58,Single,Tier 2,Desktop,UPI,Fashion,2021-12-29,36,2.0,881.52,72,63469.44,1763.04,42312.96,49,5.0,4,2,Yes,44.23,4,3,3,3,0,,0.042,24+ Months,Mid Value,0,Slipping
CUST00043,Male,27,Single,Tier 1,Mobile,Debit Card,Sports,2022-06-30,30,1.1,151.27,33,4991.91,166.4,0.0,178,8.2,5,3,Yes,104.67,7,5,5,7,1,2024-01-25,0.152,24+ Months,Low Value,0,Dormant
CUST00044,Female,34,Married,Tier 2,Desktop,Debit Card,Fashion,2024-08-01,5,2.6,701.2,13,9115.6,1823.12,0.0,135,6.8,4,0,No Complaint,136.23,4,3,11,3,1,2024-09-20,0.231,3-6 Months,Mid Value,0,Dormant
CUST00045,Male,34,Single,Tier 2,Mobile,UPI,Sports,2022-06-30,30,1.4,1302.67,42,54712.14,1823.74,43769.76,87,3.4,5,0,No Complaint,208.19,5,1,4,6,0,,0.024,24+ Months,Mid Value,0,At Risk
CUST00046,Female,20,Married,Tier 3,Mobile,Net Banking,Beauty,2024-10-01,3,4.2,1020.47,13,13266.11,4285.97,0.0,9,4.6,2,0,No Complaint,120.3,3,6,3,1,1,2024-12-31,0.462,0-3 Months,High Value,0,Active
CUST00047,Male,48,Married,Tier 1,Desktop,UPI,Electronics,2024-08-31,4,1.4,439.49,6,2636.94,615.29,0.0,35,2.5,5,2,Yes,213.46,3,0,1,4,1,2024-11-22,0.0,3-6 Months,Low Value,0,Slipping
CUST00048,Male,18,Single,Tier 2,Mobile,UPI,Beauty,2024-10-31,2,2.1,532.58,4,2130.32,1118.42,26842.08,54,7.0,5,2,Yes,302.8,2,1,5,8,0,,0.25,0-3 Months,Mid Value,0,Slipping
CUST00049,Female,29,Single,Tier 2,Mobile,Debit Card,Beauty,2022-06-30,30,1.0,229.51,30,6885.3,229.51,5508.24,88,4.6,4,1,Yes,224.73,3,0,9,4,0,,0.0,24+ Months,Low Value,0,At Risk
CUST00050,Male,56,Married,Tier 3,Tablet,Credit Card,Fashion,2024-10-31,2,3.0,1318.91,6,7913.46,3956.73,94961.52,90,1.0,5,0,No Complaint,64.07,1,0,3,2,0,,0.0,0-3 Months,High Value,0,At Risk
CUST00051,Female,21,Single,Tier 1,Mobile,Credit Card,Beauty,2024-10-01,3,2.7,1387.5,8,11100.0,3746.25,89910.0,5,1.0,3,0,No Complaint,404.46,4,1,16,1,0,,0.125,0-3 Months,High Value,0,Active
CUST00052,Female,59,Single,Tier 3,Tablet,UPI,Beauty,2024-08-01,5,1.3,817.81,6,4906.86,1063.15,0.0,169,3.5,5,2,Yes,143.96,7,1,1,4,1,2024-12-18,0.167,3-6 Months,Mid Value,0,Dormant
CUST00053,Female,30,Single,Tier 3,Mobile,COD,Fashion,2023-12-31,12,0.8,702.59,10,7025.9,562.07,0.0,98,3.0,2,0,No Complaint,112.71,0,2,4,3,1,2024-08-01,0.2,6-12 Months,Low Value,0,Dormant
CUST00054,Female,51,Single,Tier 1,Mobile,Debit Card,Fashion,2021-12-29,36,2.4,421.14,86,36218.04,1010.74,24257.76,4,3.7,4,1,No,154.04,3,0,11,9,0,,0.0,24+ Months,Mid Value,1,Active
CUST00055,Female,59,Single,Tier 3,Desktop,UPI,Fashion,2024-05-01,8,7.2,1133.04,58,65716.32,8157.89,0.0,126,4.1,4,1,Yes,118.82,3,13,28,3,1,2024-06-26,0.224,6-12 Months,High Value,0,Dormant
CUST00056,Female,38,Married,Tier 3,Desktop,Credit Card,Fashion,2023-12-31,12,0.5,284.43,6,1706.58,142.22,3413.28,13,6.8,4,0,No Complaint,253.25,4,2,4,6,0,,0.333,6-12 Months,Low Value,0,Active
CUST00057,Male,39,Single,Tier 1,Mobile,COD,Fashion,2024-10-01,3,4.0,1546.54,12,18558.48,6186.16,148467.84,130,7.1,4,4,Yes,98.26,4,1,11,1,0,,0.083,0-3 Months,High Value,0,Dormant
CUST00058,Male,21,Single,Tier 2,Mobile,Debit Card,Beauty,2024-08-01,5,2.0,1346.72,10,13467.2,2693.44,0.0,126,8.5,3,0,No Complaint,269.88,3,0,9,1,1,2024-11-23,0.0,3-6 Months,High Value,0,Dormant
CUST00059,Male,35,Married,Tier 2,Desktop,UPI,Electronics,2024-10-01,3,1.9,2033.94,6,12203.64,3864.49,0.0,177,7.6,5,3,Yes,257.0,3,2,22,3,1,2024-12-15,0.333,0-3 Months,High Value,0,Dormant
CUST00060,Male,22,Married,Tier 1,Mobile,Credit Card,Home & Kitchen,2024-05-01,8,8.2,930.05,66,61383.3,7626.41,183033.84,62,5.6,1,1,Yes,58.35,4,13,6,1,0,,0.197,6-12 Months,High Value,0,At Risk
CUST00061,Male,36,Single,Tier 1,Mobile,UPI,Fashion,2023-07-01,18,2.3,623.91,41,25580.31,1434.99,0.0,26,2.0,4,0,No Complaint,18.15,3,6,7,2,1,2024-04-10,0.146,12-24 Months,Mid Value,0,Active
CUST00062,Male,19,Married,Tier 1,Mobile,Credit Card,Electronics,2024-08-01,5,4.4,1215.03,22,26730.66,5346.13,0.0,17,5.9,5,2,Yes,342.63,2,0,1,5,1,2024-08-02,0.0,3-6 Months,High Value,0,Active
CUST00063,Female,29,Married,Tier 1,Mobile,COD,Grocery,2022-06-30,30,1.8,1550.98,54,83752.92,2791.76,67002.24,13,1.7,5,2,Yes,33.31,1,1,2,4,0,,0.019,24+ Months,High Value,0,Active
CUST00064,Male,34,Married,Tier 2,Mobile,Credit Card,Home & Kitchen,2021-12-29,36,0.7,399.26,25,9981.5,279.48,0.0,146,5.1,4,2,No,5.7,3,7,8,3,1,2022-11-20,0.28,24+ Months,Low Value,1,Dormant
CUST00065,Male,27,Married,Tier 1,Mobile,Credit Card,Grocery,2024-10-31,2,3.0,855.37,6,5132.22,2566.11,61586.64,129,1.8,4,1,Yes,92.65,6,1,7,3,0,,0.167,0-3 Months,High Value,0,Dormant
CUST00066,Female,51,Married,Tier 3,Mobile,Net Banking,Electronics,2024-12-01,1,6.4,1081.12,6,6486.72,6919.17,0.0,175,8.0,4,1,Yes,52.78,5,0,5,9,1,2024-12-23,0.0,0-3 Months,High Value,0,Dormant
CUST00067,Male,23,Single,Tier 2,Mobile,Debit Card,Home & Kitchen,2022-06-30,30,4.6,1257.54,138,173540.52,5784.68,138832.32,56,5.2,3,3,Yes,44.81,0,46,10,2,0,,0.333,24+ Months,High Value,0,Slipping
CUST00068,Female,25,Married,Tier 1,Mobile,Debit Card,Electronics,2024-08-31,4,0.6,701.62,2,1403.24,420.97,0.0,144,4.1,3,0,No Complaint,34.04,1,0,2,4,1,2024-10-24,0.0,3-6 Months,Low Value,0,Dormant
CUST00069,Male,28,Married,Tier 2,Desktop,UPI,Fashion,2024-06-01,7,1.0,1396.48,7,9775.36,1396.48,33515.52,17,3.7,4,0,No Complaint,248.96,4,2,10,2,0,,0.286,6-12 Months,Mid Value,0,Active
CUST00070,Female,29,Married,Tier 2,Mobile,Debit Card,Electronics,2024-05-01,8,1.8,458.46,14,6418.44,825.23,19805.52,162,4.4,4,0,No Complaint,275.37,6,2,2,0,0,,0.143,6-12 Months,Low Value,0,Dormant
CUST00071,Female,26,Single,Tier 3,Desktop,Debit Card,Beauty,2021-12-29,36,2.1,3687.23,76,280229.48,7743.18,185836.32,10,3.2,4,3,No,8.55,1,4,5,2,0,,0.053,24+ Months,High Value,1,Active
CUST00072,Male,19,Single,Tier 1,Desktop,Credit Card,Fashion,2023-07-01,18,0.5,579.95,9,5219.55,289.98,0.0,142,3.9,4,1,Yes,142.46,1,2,1,3,1,2024-06-13,0.222,12-24 Months,Low Value,0,Dormant
CUST00073,Male,25,Married,Tier 1,Mobile,Wallet,Grocery,2024-12-01,1,0.7,1194.45,1,1194.45,836.12,0.0,56,1.0,4,0,No Complaint,26.13,3,0,6,5,1,2024-12-09,0.0,0-3 Months,Low Value,0,Slipping
CUST00074,Female,28,Single,Tier 3,Mobile,Net Banking,Grocery,2024-12-01,1,3.6,609.86,4,2439.44,2195.5,0.0,33,2.8,2,0,No Complaint,124.61,5,1,14,4,1,2024-12-05,0.25,0-3 Months,Mid Value,0,Slipping
CUST00075,Female,53,Single,Tier 3,Mobile,COD,Home & Kitchen,2024-08-31,4,3.3,961.59,13,12500.67,3173.25,0.0,127,2.4,5,0,No Complaint,76.97,3,0,5,5,1,2024-09-27,0.0,3-6 Months,High Value,0,Dormant
CUST00076,Female,27,Married,Tier 2,Desktop,Debit Card,Electronics,2024-07-01,6,4.6,421.8,28,11810.4,1940.28,0.0,161,5.4,5,2,No,40.57,4,2,3,7,1,2024-09-25,0.071,3-6 Months,Mid Value,1,Dormant
CUST00077,Female,38,Single,Tier 3,Tablet,Credit Card,Fashion,2024-03-01,10,6.8,1906.27,68,129626.36,12962.64,311103.36,137,4.6,3,2,Yes,532.38,3,2,1,3,0,,0.029,6-12 Months,High Value,0,Dormant
CUST00078,Male,37,Single,Tier 1,Mobile,UPI,Electronics,2022-06-30,30,0.9,506.65,27,13679.55,455.98,10943.52,57,6.1,4,2,Yes,565.32,6,1,4,5,0,,0.037,24+ Months,Low Value,0,Slipping
CUST00079,Male,25,Married,Tier 2,Desktop,UPI,Electronics,2024-07-01,6,4.9,950.62,29,27567.98,4658.04,0.0,64,3.7,4,2,Yes,149.41,1,2,16,3,1,2024-07-27,0.069,3-6 Months,High Value,0,At Risk
CUST00080,Male,53,Married,Tier 1,Mobile,COD,Beauty,2024-06-01,7,2.7,858.58,19,16313.02,2318.17,0.0,34,4.7,2,0,No Complaint,37.5,1,2,4,7,1,2024-06-24,0.105,6-12 Months,Mid Value,0,Slipping
CUST00081,Female,46,Married,Tier 1,Mobile,Credit Card,Grocery,2024-07-01,6,7.9,549.4,47,25821.8,4340.26,0.0,148,1.0,3,1,Yes,157.56,2,1,2,4,1,2024-10-06,0.021,3-6 Months,High Value,0,Dormant
CUST00082,Female,59,Married,Tier 3,Desktop,Net Banking,Beauty,2024-12-01,1,0.8,151.17,1,151.17,120.94,0.0,20,6.1,1,1,Yes,474.85,2,0,18,2,1,2024-12-04,0.0,0-3 Months,Low Value,0,Active
CUST00083,Male,29,Single,Tier 1,Mobile,UPI,Home & Kitchen,2021-12-29,36,0.8,1884.81,29,54659.49,1507.85,36188.4,162,6.8,4,1,No,85.4,2,6,21,4,0,,0.207,24+ Months,Mid Value,1,Dormant
CUST00084,Male,31,Married,Tier 2,Mobile,Credit Card,Home & Kitchen,2024-10-01,3,3.0,993.33,9,8939.97,2979.99,0.0,108,5.7,2,1,Yes,26.68,2,3,25,2,1,2024-11-15,0.333,0-3 Months,High Value,0,Dormant
CUST00085,Male,38,Single,Tier 3,Mobile,Debit Card,Electronics,2024-08-01,5,6.6,265.55,33,8763.15,1752.63,42063.12,106,2.9,2,1,Yes,212.97,1,4,6,5,0,,0.121,3-6 Months,Mid Value,0,Dormant
CUST00086,Male,39,Single,Tier 1,Desktop,Credit Card,Sports,2024-10-31,2,4.4,235.26,9,2117.34,1035.14,0.0,150,5.5,3,0,No Complaint,192.22,4,2,7,5,1,2024-12-24,0.222,0-3 Months,Mid Value,0,Dormant
CUST00087,Female,38,Married,Tier 3,Mobile,Net Banking,Fashion,2024-03-01,10,3.2,716.63,32,22932.16,2293.22,0.0,120,4.8,3,3,No,0.25,5,8,3,5,1,2024-08-24,0.25,6-12 Months,Mid Value,1,Dormant
CUST00088,Female,61,Single,Tier 3,Desktop,Wallet,Beauty,2021-12-29,36,1.2,847.48,43,36441.64,1016.98,24407.52,55,1.0,4,0,No Complaint,345.86,3,3,3,6,0,,0.07,24+ Months,Mid Value,0,Slipping
CUST00089,Female,47,Married,Tier 2,Mobile,UPI,Grocery,2024-10-31,2,3.2,772.42,6,4634.52,2471.74,59321.76,63,6.7,4,1,Yes,194.58,1,0,6,7,0,,0.0,0-3 Months,Mid Value,0,At Risk
CUST00090,Male,56,Single,Tier 1,Mobile,UPI,Beauty,2024-04-01,9,4.0,2466.99,36,88811.64,9867.96,236831.04,31,2.6,2,0,No Complaint,39.2,4,9,1,6,0,,0.25,6-12 Months,High Value,0,Slipping
CUST00091,Male,37,Single,Tier 1,Desktop,UPI,Electronics,2024-12-01,1,3.5,279.03,4,1116.12,976.6,23438.4,84,5.5,4,0,No Complaint,0.58,1,0,26,1,0,,0.0,0-3 Months,Mid Value,0,At Risk
CUST00092,Female,41,Married,Tier 2,Mobile,Debit Card,Beauty,2022-12-30,24,2.8,1041.7,67,69793.9,2916.76,70002.24,20,4.6,3,3,Yes,645.54,0,14,9,3,0,,0.209,12-24 Months,High Value,0,Active
CUST00093,Female,40,Married,Tier 1,Desktop,Credit Card,Home & Kitchen,2023-07-01,18,0.5,1410.84,9,12697.56,705.42,0.0,117,6.9,4,0,No Complaint,252.93,2,2,1,6,1,2024-03-27,0.222,12-24 Months,Low Value,0,Dormant
CUST00094,Female,24,Single,Tier 1,Mobile,COD,Beauty,2022-12-30,24,2.7,1390.09,65,90355.85,3753.24,90077.76,31,2.9,2,0,No Complaint,81.76,2,3,2,5,0,,0.046,12-24 Months,High Value,0,Slipping
CUST00095,Female,26,Married,Tier 3,Mobile,Credit Card,Beauty,2024-03-01,10,1.6,1678.57,16,26857.12,2685.71,0.0,155,3.6,4,0,No Complaint,102.06,0,3,3,7,1,2024-03-23,0.188,6-12 Months,High Value,0,Dormant
CUST00096,Male,18,Single,Tier 1,Mobile,Debit Card,Fashion,2021-12-29,36,8.1,974.41,292,284527.72,7892.72,189425.28,126,5.7,3,1,Yes,139.33,4,35,1,4,0,,0.12,24+ Months,High Value,0,Dormant
CUST00097,Male,43,Single,Tier 2,Desktop,COD,Fashion,2024-05-01,8,2.3,1066.66,18,19199.88,2453.32,58879.68,160,3.4,4,1,Yes,228.25,4,1,33,3,0,,0.056,6-12 Months,Mid Value,0,Dormant
CUST00098,Male,55,Single,Tier 1,Mobile,Debit Card,Sports,2024-01-31,11,2.3,712.74,25,17818.5,1639.3,39343.2,16,7.1,3,0,No Complaint,34.18,3,5,3,7,0,,0.2,6-12 Months,Mid Value,0,Active
CUST00099,Male,55,Single,Tier 2,Desktop,Debit Card,Beauty,2022-12-30,24,12.8,312.08,307,95808.56,3994.62,0.0,143,3.1,1,1,No,39.21,6,21,1,4,1,2024-04-13,0.068,12-24 Months,High Value,1,Dormant
CUST00100,Male,61,Single,Tier 3,Mobile,UPI,Grocery,2024-01-31,11,0.5,1130.2,6,6781.2,565.1,0.0,158,5.6,4,3,No,8.91,3,3,17,7,1,2024-10-31,0.5,6-12 Months,Low Value,1,Dormant
CUST00101,Male,39,Married,Tier 1,Mobile,Credit Card,Electronics,2024-10-01,3,0.8,677.32,2,1354.64,541.86,13004.64,8,4.5,4,0,No Complaint,765.74,1,0,1,3,0,,0.0,0-3 Months,Low Value,0,Active
CUST00102,Female,61,Married,Tier 1,Mobile,Debit Card,Fashion,2024-07-01,6,2.7,533.36,16,8533.76,1440.07,0.0,179,3.3,3,1,Yes,375.12,3,5,5,3,1,2024-08-01,0.312,3-6 Months,Mid Value,0,Dormant
CUST00103,Male,27,Single,Tier 2,Tablet,Credit Card,Electronics,2024-10-31,2,0.9,1165.31,2,2330.62,1048.78,0.0,54,6.9,3,1,Yes,144.92,3,0,4,3,1,2024-12-29,0.0,0-3 Months,Mid Value,0,Slipping
CUST00104,Male,23,Married,Tier 2,Desktop,Net Banking,Electronics,2024-04-01,9,1.1,1240.2,10,12402.0,1364.22,32741.28,38,2.6,4,0,No Complaint,101.27,0,3,1,7,0,,0.3,6-12 Months,Mid Value,0,Slipping
CUST00105,Female,34,Single,Tier 2,Desktop,Net Banking,Fashion,2023-07-01,18,5.6,547.85,101,55332.85,3067.96,0.0,75,5.5,3,1,Yes,48.79,5,12,1,0,1,2024-07-22,0.119,12-24 Months,High Value,0,At Risk
CUST00106,Male,55,Single,Tier 1,Mobile,COD,Fashion,2024-10-31,2,2.2,1069.56,4,4278.24,2353.03,56472.72,2,1.0,3,0,No Complaint,162.69,4,1,3,5,0,,0.25,0-3 Months,Mid Value,0,Active
CUST00107,Male,41,Single,Tier 1,Mobile,Credit Card,Grocery,2023-07-01,18,0.5,848.22,9,7633.98,424.11,0.0,159,5.1,1,2,Yes,211.11,6,0,4,4,1,2023-09-19,0.0,12-24 Months,Low Value,0,Dormant
CUST00108,Female,27,Single,Tier 3,Mobile,COD,Grocery,2021-12-29,36,0.9,1025.49,32,32815.68,922.94,22150.56,49,6.7,4,0,No Complaint,210.34,2,10,11,4,0,,0.312,24+ Months,Mid Value,0,Slipping
